mes_dia,descripcion
0,No aplica
820,sábado 20 de agosto
821,domingo 21 de agosto
822,lunes 22 de agosto
823,martes 23 de agosto
824,miércoles 24 de agosto
825,jueves 25 de agosto
826,viernes 26 de agosto
830,martes 30 de agosto
831,miércoles 31 de agosto
901,jueves 1 de septiembre
902,viernes 2 de septiembre
903,sábado 3 de septiembre
904,domingo 4 de septiembre
905,lunes 5 de septiembre
909,viernes 9 de septiembre
910,sábado 10 de septiembre
911,domingo 11 de septiembre
912,lunes 12 de septiembre
913,martes 13 de septiembre
914,miércoles 14 de septiembre
915,jueves 15 de septiembre
919,lunes 19 de septiembre
920,martes 20 de septiembre
921,miércoles 21 de septiembre
922,jueves 22 de septiembre
923,viernes 23 de septiembre
924,sábado 24 de septiembre
925,domingo 25 de septiembre
929,jueves 29 de septiembre
930,viernes 30 de septiembre
1001,sábado 1 de octubre
1002,domingo 2 de octubre
1003,lunes 3 de octubre
1004,martes 4 de octubre
1005,miércoles 5 de octubre
1009,domingo 9 de octubre
1010,lunes 10 de octubre
1011,martes 11 de octubre
1012,miércoles 12 de octubre
1013,jueves 13 de octubre
1014,viernes 14 de octubre
1015,sábado 15 de octubre
1019,miércoles 19 de octubre
1020,jueves 20 de octubre
1021,viernes 21 de octubre
1022,sábado 22 de octubre
1023,domingo 23 de octubre
1024,lunes 24 de octubre
1025,martes 25 de octubre
1029,sábado 29 de octubre
1030,domingo 30 de octubre
1031,lunes 31 de octubre
1101,martes 1 de noviembre
1102,miércoles 2 de noviembre
1103,jueves 3 de noviembre
1104,viernes 4 de noviembre
1108,martes 8 de noviembre
1109,miércoles 9 de noviembre
1110,jueves 10 de noviembre
1111,viernes 11 de noviembre
1112,sábado 12 de noviembre
1113,domingo 13 de noviembre
1114,lunes 14 de noviembre
